brand,model,year,fuel,transmission,km_driven,owner_count,engine_cc,price
BMW,5 Series,2009,Diesel,Manual,39219,0,3000,23965.88
BMW,5 Series,2014,Hybrid,Automatic,18962,2,4000,22975.83
Tesla,Model X,2022,Petrol,Automatic,14037,0,4000,64023.53
Tesla,Model Y,2016,Electric,Automatic,14017,0,1500,45665.26
Tesla,Model S,2010,Electric,Manual,1000,0,2000,36194.45
BMW,X5,2006,Petrol,Automatic,25422,0,3000,14107.14
Mercedes,GLE,2015,Diesel,Manual,3783,2,1500,24453.27
Tesla,Model 3,2011,Petrol,Automatic,19877,1,4000,32379.71
Porsche,Cayenne,2018,Hybrid,Automatic,1000,0,1500,65763.1
Audi,A4,2018,Diesel,Manual,34539,2,2000,27667.26
Bugatti,Chiron,2010,Hybrid,Automatic,41397,0,2000,1264620.72
BMW,5 Series,2018,Diesel,Automatic,40932,1,2000,32897.44
BMW,X5,2005,Diesel,Manual,61491,0,1000,15602.77
BMW,5 Series,2011,Diesel,Automatic,4022,1,1000,24221.48
BMW,X5,2013,Diesel,Manual,28673,0,2000,28279.93
Audi,A4,2020,Diesel,Automatic,12194,0,1500,32056.98
Bugatti,Chiron,2016,Diesel,Automatic,2466,2,1500,1664472.47
BMW,X5,2009,Hybrid,Manual,14597,2,2000,19709.75
Mercedes,E Class,2008,Petrol,Manual,25714,1,1000,16747.99
BMW,5 Series,2013,Diesel,Automatic,3032,3,2000,17652.41
Audi,A4,2009,Electric,Manual,17422,2,3000,15370.57
Mercedes,GLE,2014,Electric,Automatic,12563,1,3000,23261.7
Mercedes,C Class,2011,Diesel,Manual,20533,1,3000,19462.73
Bugatti,Chiron,2017,Diesel,Automatic,40854,0,4000,1960798.25
Porsche,Cayenne,2011,Hybrid,Manual,98324,0,4000,47812.82
Tesla,Model S,2012,Hybrid,Manual,3957,2,1500,31880.57
Audi,A6,2007,Petrol,Automatic,25437,3,4000,12824.82
Audi,Q7,2014,Petrol,Automatic,6647,2,1500,21688.85
Mercedes,GLE,2009,Diesel,Manual,8590,0,2000,21786.67
Tesla,Model 3,2016,Electric,Manual,31842,0,1500,44539.42
Bugatti,Chiron,2007,Petrol,Manual,50833,0,3000,1126180.29
Mercedes,E Class,2010,Hybrid,Manual,19112,0,4000,22106.87
Audi,A4,2022,Petrol,Manual,5436,2,1500,34205.48
Porsche,Cayenne,2014,Hybrid,Automatic,38257,1,2000,55558.39
Mercedes,C Class,2009,Electric,Automatic,46351,0,4000,23299.72
Mercedes,GLE,2021,Electric,Manual,2970,3,1500,33455.86
Mercedes,C Class,2007,Hybrid,Manual,8697,0,1000,18884.91
Audi,A6,2016,Petrol,Automatic,21190,2,2000,24754.36
Mercedes,GLE,2008,Diesel,Automatic,15269,3,3000,14902.13
Porsche,Cayenne,2008,Electric,Manual,12281,1,3000,35484.85
Porsche,911,2018,Petrol,Automatic,145237,0,1000,67741.03
Tesla,Model X,2013,Petrol,Automatic,46167,3,1500,39204.73
Audi,A4,2018,Diesel,Manual,33297,1,2000,33079.19
Bugatti,Chiron,2011,Hybrid,Manual,1713,1,2000,1403207.22
Mercedes,E Class,2007,Hybrid,Manual,1984,0,4000,21717.94
Mercedes,GLE,2007,Hybrid,Manual,6192,2,2000,16385.82
Mercedes,GLE,2014,Hybrid,Automatic,7971,3,1500,23191.71
Audi,A4,2010,Petrol,Automatic,36156,0,3000,20784.89
Tesla,Model Y,2019,Petrol,Automatic,8858,2,1500,56424.24
Porsche,Cayenne,2015,Electric,Automatic,10408,2,3000,56235.86
Audi,A4,2007,Hybrid,Manual,29811,0,1000,16183.12
Audi,A4,2006,Diesel,Automatic,13854,0,1500,15696.7
BMW,X5,2005,Hybrid,Manual,13249,1,1500,16176.67
Bugatti,Chiron,2018,Electric,Automatic,7147,0,4000,1789453.01
BMW,3 Series,2011,Hybrid,Manual,31301,1,3000,18858.81
Tesla,Model S,2012,Diesel,Automatic,10412,0,2000,35765.04
Porsche,911,2006,Petrol,Manual,62174,2,1500,41463.98
Porsche,Cayenne,2014,Electric,Automatic,1661,2,3000,54470.8
BMW,5 Series,2015,Hybrid,Automatic,4029,0,1500,26885.98
BMW,3 Series,2010,Diesel,Manual,10510,2,3000,19316.32
BMW,3 Series,2014,Hybrid,Automatic,48450,3,2000,22170.36
Porsche,Cayenne,2019,Diesel,Manual,13546,1,2000,76935.34
Audi,A4,2020,Diesel,Automatic,9837,3,1000,26150.36
Porsche,911,2022,Petrol,Automatic,7315,3,3000,84991.17
Porsche,Panamera,2022,Electric,Automatic,52996,0,4000,77696.01
Tesla,Model Y,2019,Diesel,Automatic,7353,1,1500,51670.71
Porsche,Cayenne,2020,Petrol,Manual,16854,2,2000,64465.24
Audi,Q7,2015,Diesel,Automatic,4749,1,1500,22146.59
Audi,A6,2010,Hybrid,Manual,2091,2,1500,17732.74
Audi,A4,2018,Diesel,Automatic,53794,0,2000,26715.09
Mercedes,C Class,2005,Electric,Automatic,48171,1,4000,15965.95
Tesla,Model 3,2014,Petrol,Manual,9526,1,1500,42040.24
Audi,Q7,2011,Petrol,Automatic,1000,0,3000,21135.81
Porsche,911,2019,Petrol,Manual,52387,1,3000,65055.81
Porsche,Cayenne,2007,Electric,Manual,7243,3,3000,34571.71
